system:index,cluster,.geo
237,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.32938097080167,1.3678646831287962]}"
238,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.65187615780057,2.204196212644071]}"
239,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.43343332639381,0.11830812291854187]}"
240,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.29561803896434,3.7528917624661258]}"
241,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.21980937754834,0.3671414566196489]}"
242,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.25160059004247,4.140963965205759]}"
243,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.60012404887159,-0.07303303259891614]}"
244,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.14342970698893,-2.881166610756541]}"
245,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.17666737250136,-0.015540854415267091]}"
246,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.47403260295417,0.29797117974244625]}"
247,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.39316135597416,0.4677527684410352]}"
248,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.91617881151595,5.597133040763504]}"
249,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.17362224909904,-1.489676235655402]}"
250,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14417580490733,-0.8222279795545973]}"
251,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.87143813608495,-3.9079409805051544]}"
252,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.96972755101316,1.13520102454184]}"
253,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.47346159381074,0.21622448888756907]}"
254,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.76865714473611,0.7291625161198159]}"
255,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.06724799661374,1.6867666089912259]}"
256,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.45571611972183,4.53442605965011]}"
257,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.39173777436511,-3.115626899911735]}"
258,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.74155546884681,1.1612521677813064]}"
259,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.11757652393369,-1.3917598696863749]}"
260,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.30155606840322,0.3985824915638325]}"
261,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.97384607847457,-0.7719223236439046]}"
262,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.43233705092547,3.6127545781434804]}"
263,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.23343632417586,-2.56226468489411]}"
264,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.79974800213036,1.5008153451784851]}"
265,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.20363970243419,-3.284510173326206]}"
266,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.80371431222603,5.225230513138022]}"
267,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.59116376743965,-2.9566250946225807]}"
